i	Alt (km)	V (K) 14-15UT Verr (K)
      77.7400     -64.8194      22.9519
      77.8810     -67.3060      17.8060
      78.0220     -69.8622      14.1220
      78.1630     -72.5243      11.4613
      78.3040     -75.3297      9.56084
      78.4450     -78.2758      8.18665
      78.5860     -81.3583      7.13408
      78.7270     -84.5620      6.34466
      78.8680     -87.9021      5.75989
      79.0080     -91.3397      5.29209
      79.1490     -82.3441      4.94123
      79.2900     -75.7474      4.64885
      79.4310     -71.0944      4.41494
      79.5720     -68.0522      4.23952
      79.7130     -66.2590      4.09333
      79.8540     -65.3596      3.97637
      79.9950     -65.0936      3.88866
      80.1360     -65.2050      3.80095
      80.2770     -65.5768      3.71323
      80.4180     -66.0627      3.65476
      80.5590     -66.6474      3.59628
      80.7000     -67.2336      3.53780
      80.8410     -67.7404      3.50857
      80.9820     -68.1358      3.45009
      81.1230     -68.3878      3.42085
      81.2640     -68.4741      3.36238
      81.4050     -68.4296      3.33314
      81.5460     -68.2861      3.27466
      81.6870     -68.0912      3.24542
      81.8270     -67.8518      3.21619
      81.9680     -67.6192      3.18695
      82.1090     -67.4076      3.15771
      82.2500     -67.2656      3.12847
      82.3910     -67.2378      3.12847
      82.5320     -67.3798      3.09923
      82.6730     -67.7237      3.09923
      82.8140     -68.3001      3.09923
      82.9550     -69.1187      3.06999
      83.0960     -70.1755      3.06999
      83.2370     -71.4453      3.06999
      83.3780     -72.9086      3.06999
      83.5190     -74.5152      3.09923
      83.6600     -76.2361      3.09923
      83.8010     -78.0155      3.09923
      83.9420     -79.8129      3.12847
      84.0830     -81.5783      3.12847
      84.2240     -83.2672      3.12847
      84.3650     -84.8237      3.15771
      84.5060     -86.2063      3.15771
      84.6470     -87.3869      3.18695
      84.7870     -88.3546      3.18695
      84.9280     -89.1190      3.18695
      85.0690     -89.6968      3.21619
      85.2100     -90.0866      3.21619
      85.3510     -90.2732      3.21619
      85.4920     -90.2397      3.21619
      85.6330     -89.9599      3.21619
      85.7740     -89.4280      3.21619
      85.9150     -88.6344      3.18695
      86.0560     -87.5749      3.18695
      86.1970     -86.2425      3.18695
      86.3380     -84.6344      3.18695
      86.4790     -82.7729      3.18695
      86.6200     -80.6678      3.18695
      86.7610     -78.3705      3.18695
      86.9020     -75.9061      3.18695
      87.0430     -73.3262      3.18695
      87.1840     -70.6642      3.15771
      87.3250     -67.9590      3.15771
      87.4660     -65.2440      3.15771
      87.6070     -62.5485      3.12847
      87.7480     -59.8962      3.12847
      87.8880     -57.3205      3.09923
      88.0300     -54.8297      3.09923
      88.1700     -52.4447      3.09923
      88.3110     -50.1544      3.06999
      88.4520     -47.9560      3.06999
      88.5930     -45.8439      3.06999
      88.7340     -43.8042      3.06999
      88.8750     -41.8132      3.06999
      89.0160     -39.8612      3.06999
      89.1570     -37.9552      3.06999
      89.2980     -36.0881      3.06999
      89.4390     -34.2712      3.06999
      89.5800     -32.4918      3.06999
      89.7210     -30.7250      3.09923
      89.8620     -28.9665      3.09923
      90.0030     -27.1928      3.09923
      90.1440     -25.3772      3.09923
      90.2850     -23.4809      3.09923
      90.4260     -21.4677      3.09923
      90.5670     -19.2804      3.09923
      90.7080     -16.8731      3.09923
      90.8490     -14.1902      3.09923
      90.9900     -11.1982      3.09923
      91.1300     -7.89427      3.09923
      91.2710     -4.30217      3.09923
      91.4120    -0.459456      3.09923
      91.5530      3.59906      3.09923
      91.6940      7.82605      3.12847
      91.8350      12.1742      3.12847
      91.9760      16.6267      3.15771
      92.1170      21.1447      3.15771
      92.2580      25.6877      3.18695
      92.3990      30.2196      3.21619
      92.5400      34.6568      3.24542
      92.6810      38.9228      3.24542
      92.8220      42.9688      3.27466
      92.9630      46.7614      3.30390
      93.1040      50.2769      3.36238
      93.2450      53.4987      3.39161
      93.3860      56.4030      3.42085
      93.5270      59.0052      3.45009
      93.6680      61.3052      3.50857
      93.8090      63.2906      3.53780
      93.9500      64.9725      3.59628
      94.0900      66.3606      3.62552
      94.2310      67.4438      3.68399
      94.3720      68.2165      3.74247
      94.5130      68.6579      3.77171
      94.6540      68.7609      3.83018
      94.7950      68.5409      3.91790
      94.9360      67.9910      3.97637
      95.0770      67.1514      4.06409
      95.2180      66.0947      4.15180
      95.3590      64.8945      4.23952
      95.5000      63.6248      4.32723
      95.6410      62.3940      4.41494
      95.7820      61.2760      4.53190
      95.9230      60.2930      4.64885
      96.0640      59.4563      4.79504
      96.2050      58.7448      4.94123
      96.3460      58.1976      5.08742
      96.4870      57.8412      5.26285
      96.6280      57.7340      5.43828
      96.7690      57.9401      5.64294
      96.9100      58.4371      5.87685
      97.0500      59.2683      6.16923
      97.1910      60.4490      6.46161
      97.3320      62.0014      6.81246
      97.4730      63.8754      7.19256
      97.6140      65.9304      7.63113
      97.7550      68.0954      8.15741
      97.8960      70.1351      8.74218
      98.0370      71.8602      9.41465
      98.1780      73.0102      10.1748
      98.3190      73.5532      11.0227
      98.4600      73.3318      12.0168
      98.6010      72.2291      13.0986
      98.7420      70.2660      14.2974
      98.8830      67.5065      15.5546
      99.0240      63.9617      17.0165
      99.1650      59.7041      18.3323
      99.3060      54.7712      19.3556
      99.4470      49.2494      20.4374
      99.5880      43.0732      21.4315
      99.7290      36.4571      22.3963
      99.8700      29.7365      23.4489
      100.011      23.1231      24.5892
      100.152      17.0207      25.8172
      100.292      11.3973      27.4253
      100.433      6.54514      29.0041
