i	Alt (km)	T (K) 14-15UT Terr (K)
      77.5990      147.551      15.5500
      77.7400      152.707      11.8000
      77.8810      157.954      9.53000
      78.0220      163.282      7.98000
      78.1630      168.700      6.80000
      78.3040      174.199      5.98000
      78.4450      179.769      5.35000
      78.5860      185.398      4.84000
      78.7270      191.092      4.42000
      78.8680      196.845      4.09000
      79.0080      202.660      3.82000
      79.1490      205.871      3.60000
      79.2900      208.435      3.43000
      79.4310      210.543      3.28000
      79.5720      212.345      3.16000
      79.7130      213.973      3.04000
      79.8540      215.443      2.95000
      79.9950      216.774      2.87000
      80.1360      217.992      2.80000
      80.2770      219.114      2.73000
      80.4180      220.131      2.68000
      80.5590      221.048      2.63000
      80.7000      221.860      2.58000
      80.8410      222.559      2.54000
      80.9820      223.155      2.50000
      81.1230      223.635      2.46000
      81.2640      224.019      2.42000
      81.4050      224.317      2.39000
      81.5460      224.544      2.35000
      81.6870      224.702      2.31000
      81.8270      224.803      2.27000
      81.9680      224.851      2.24000
      82.1090      224.869      2.21000
      82.2500      224.860      2.18000
      82.3910      224.837      2.16000
      82.5320      224.803      2.13000
      82.6730      224.755      2.12000
      82.8140      224.700      2.10000
      82.9550      224.640      2.09000
      83.0960      224.581      2.08000
      83.2370      224.536      2.07000
      83.3780      224.511      2.07000
      83.5190      224.502      2.07000
      83.6600      224.506      2.08000
      83.8010      224.513      2.08000
      83.9420      224.529      2.09000
      84.0830      224.563      2.10000
      84.2240      224.610      2.10000
      84.3650      224.666      2.11000
      84.5060      224.740      2.11000
      84.6470      224.817      2.11000
      84.7870      224.888      2.11000
      84.9280      224.947      2.12000
      85.0690      224.985      2.12000
      85.2100      224.989      2.12000
      85.3510      224.949      2.12000
      85.4920      224.859      2.12000
      85.6330      224.711      2.13000
      85.7740      224.505      2.14000
      85.9150      224.229      2.15000
      86.0560      223.881      2.15000
      86.1970      223.460      2.16000
      86.3380      222.969      2.16000
      86.4790      222.419      2.17000
      86.6200      221.827      2.17000
      86.7610      221.203      2.17000
      86.9020      220.549      2.16000
      87.0430      219.866      2.15000
      87.1840      219.156      2.14000
      87.3250      218.416      2.12000
      87.4660      217.644      2.10000
      87.6070      216.849      2.08000
      87.7480      216.032      2.06000
      87.8880      215.193      2.05000
      88.0300      214.330      2.03000
      88.1700      213.455      2.02000
      88.3110      212.565      2.02000
      88.4520      211.664      2.01000
      88.5930      210.764      2.01000
      88.7340      209.865      2.00000
      88.8750      208.974      2.00000
      89.0160      208.094      2.00000
      89.1570      207.227      2.00000
      89.2980      206.371      2.00000
      89.4390      205.523      2.00000
      89.5800      204.675      2.00000
      89.7210      203.827      2.00000
      89.8620      202.982      1.99000
      90.0030      202.141      1.99000
      90.1440      201.307      1.98000
      90.2850      200.481      1.97000
      90.4260      199.664      1.95000
      90.5670      198.848      1.94000
      90.7080      198.038      1.92000
      90.8490      197.228      1.91000
      90.9900      196.414      1.90000
      91.1300      195.589      1.89000
      91.2710      194.753      1.89000
      91.4120      193.905      1.89000
      91.5530      193.050      1.89000
      91.6940      192.193      1.90000
      91.8350      191.349      1.91000
      91.9760      190.526      1.92000
      92.1170      189.729      1.93000
      92.2580      188.973      1.94000
      92.3990      188.260      1.96000
      92.5400      187.598      1.96000
      92.6810      187.002      1.97000
      92.8220      186.469      1.98000
      92.9630      186.007      1.99000
      93.1040      185.607      2.00000
      93.2450      185.270      2.01000
      93.3860      184.993      2.02000
      93.5270      184.790      2.04000
      93.6680      184.664      2.06000
      93.8090      184.622      2.08000
      93.9500      184.671      2.11000
      94.0900      184.818      2.15000
      94.2310      185.063      2.20000
      94.3720      185.407      2.26000
      94.5130      185.836      2.31000
      94.6540      186.358      2.37000
      94.7950      186.962      2.44000
      94.9360      187.653      2.51000
      95.0770      188.440      2.59000
      95.2180      189.320      2.68000
      95.3590      190.287      2.77000
      95.5000      191.340      2.87000
      95.6410      192.487      2.97000
      95.7820      193.738      3.08000
      95.9230      195.102      3.19000
      96.0640      196.612      3.31000
      96.2050      198.283      3.43000
      96.3460      200.147      3.57000
      96.4870      202.217      3.72000
      96.6280      204.481      3.90000
      96.7690      206.969      4.08000
      96.9100      209.690      4.29000
      97.0500      212.650      4.54000
      97.1910      215.877      4.82000
      97.3320      219.367      5.15000
      97.4730      223.039      5.53000
      97.6140      226.818      5.98000
      97.7550      230.583      6.52000
      97.8960      234.177      7.13000
      98.0370      237.435      7.79000
      98.1780      240.209      8.54000
      98.3190      242.426      9.42000
      98.4600      244.062      10.4100
      98.6010      245.080      11.5300
      98.7420      245.530      12.7400
      98.8830      245.424      13.8900
      99.0240      244.787      15.0600
      99.1650      243.714      16.0100
      99.3060      242.260      16.6000
      99.4470      240.444      16.9400
      99.5880      238.331      16.9200
      99.7290      235.839      16.6500
      99.8700      232.902      16.3700
      100.011      229.412      16.0600
      100.152      225.195      15.8700
      100.292      220.153      15.8800
      100.433      214.243      16.0000
      100.574      207.534      16.3900
      100.715      200.207      17.0400
      100.856      192.411      17.8300
      100.997      184.463      18.9100
      101.138      176.919      19.6900
      101.702      152.293      19.2700
      101.843      148.261      17.7100
      101.984      145.475      16.0600
      102.125      144.086      14.6900
      102.266      144.327      13.4100
      102.407      146.472      12.2400
      102.971      138.544      12.5000
      103.112      135.125      13.5200
      103.252      132.217      15.3000
      103.393      129.954      18.0900
