i	Alt (km)	T (K) 14-14.5UT Terr (K)
      77.1790      220.980      17.9300
      77.3290      220.740      13.5400
      77.4790      219.990      10.2900
      77.6290      219.320      7.95000
      77.7790      219.450      6.29000
      77.9290      219.980      5.10000
      78.0790      220.810      4.24000
      78.2290      221.410      3.59000
      78.3790      221.850      3.09000
      78.5290      221.970      2.69000
      78.6790      222.060      2.39000
      78.8290      222.000      2.14000
      78.9790      221.900      1.95000
      79.1290      221.650      1.78000
      79.2790      221.440      1.65000
      79.4290      221.250      1.54000
      79.5790      221.000      1.45000
      79.7290      220.740      1.37000
      79.8790      220.450      1.30000
      80.0290      220.170      1.24000
      80.1790      219.940      1.19000
      80.3290      219.660      1.15000
      80.4790      219.440      1.11000
      80.6290      219.300      1.08000
      80.7790      219.270      1.05000
      80.9290      219.370      1.02000
      81.0790      219.510      1.00000
      81.2290      219.710     0.980000
      81.3790      219.920     0.960000
      81.5290      220.190     0.950000
      81.6790      220.480     0.930000
      81.8290      220.770     0.920000
      81.9790      221.080     0.900000
      82.1290      221.370     0.890000
      82.2790      221.660     0.880000
      82.4290      221.950     0.870000
      82.5790      222.220     0.860000
      82.7290      222.450     0.850000
      82.8790      222.610     0.840000
      83.0290      222.760     0.830000
      83.1790      222.880     0.820000
      83.3290      222.980     0.820000
      83.4790      223.020     0.810000
      83.6290      222.970     0.810000
      83.7790      222.840     0.800000
      83.9290      222.620     0.800000
      84.0790      222.330     0.790000
      84.2290      221.970     0.790000
      84.3790      221.530     0.790000
      84.5290      221.050     0.780000
      84.6790      220.490     0.780000
      84.8290      219.900     0.780000
      84.9790      219.270     0.770000
      85.1290      218.620     0.770000
      85.2790      217.980     0.770000
      85.4290      217.370     0.770000
      85.5790      216.780     0.760000
      85.7290      216.170     0.760000
      85.8790      215.570     0.760000
      86.0290      214.980     0.760000
      86.1790      214.400     0.760000
      86.3290      213.810     0.760000
      86.4790      213.220     0.760000
      86.6290      212.600     0.760000
      86.7790      211.970     0.760000
      86.9290      211.290     0.760000
      87.0790      210.560     0.760000
      87.2290      209.790     0.750000
      87.3790      208.970     0.750000
