i	Alt (km)	T (K) 14.5-15UT Terr (K)
      77.3290      198.910      13.7200
      77.4790      200.720      9.46000
      77.6290      202.800      6.90000
      77.7790      204.540      5.27000
      77.9290      206.250      4.19000
      78.0790      207.720      3.44000
      78.2290      209.200      2.90000
      78.3790      210.440      2.51000
      78.5290      211.920      2.21000
      78.6790      213.280      1.98000
      78.8290      214.620      1.80000
      78.9790      215.980      1.66000
      79.1290      217.290      1.54000
      79.2790      218.670      1.44000
      79.4290      219.940      1.36000
      79.5790      221.160      1.29000
      79.7290      222.370      1.23000
      79.8790      223.520      1.18000
      80.0290      224.610      1.14000
      80.1790      225.610      1.10000
      80.3290      226.500      1.07000
      80.4790      227.300      1.04000
      80.6290      228.030      1.01000
      80.7790      228.670     0.990000
      80.9290      229.240     0.970000
      81.0790      229.650     0.950000
      81.2290      229.950     0.940000
      81.3790      230.110     0.920000
      81.5290      230.180     0.900000
      81.6790      230.130     0.890000
      81.8290      230.000     0.880000
      81.9790      229.810     0.870000
      82.1290      229.570     0.860000
      82.2790      229.350     0.850000
      82.4290      229.130     0.840000
      82.5790      228.870     0.830000
      82.7290      228.590     0.830000
      82.8790      228.290     0.820000
      83.0290      227.950     0.820000
      83.1790      227.570     0.810000
      83.3290      227.160     0.810000
      83.4790      226.730     0.800000
      83.6290      226.250     0.800000
      83.7790      225.760     0.800000
      83.9290      225.230     0.800000
      84.0790      224.650     0.790000
      84.2290      224.010     0.790000
      84.3790      223.300     0.790000
      84.5290      222.550     0.790000
      84.6790      221.750     0.790000
      84.8290      220.910     0.780000
      84.9790      220.020     0.780000
      85.1290      219.120     0.780000
      85.2790      218.220     0.780000
      85.4290      217.300     0.770000
      85.5790      216.440     0.770000
      85.7290      215.610     0.770000
      85.8790      214.820     0.770000
      86.0290      214.070     0.770000
      86.1790      213.370     0.760000
      86.3290      212.740     0.760000
      86.4790      212.140     0.760000
      86.6290      211.600     0.760000
      86.7790      211.100     0.760000
      86.9290      210.690     0.760000
      87.0790      210.360     0.760000
      87.2290      210.100     0.760000
      87.3790      209.910     0.760000
      87.5290      209.750     0.760000
      87.6790      209.660     0.760000
      87.8290      209.560     0.760000
      87.9790      209.430     0.770000
      88.1290      209.260     0.770000
      88.2790      209.070     0.770000
      88.4290      208.800     0.770000
      88.5790      208.440     0.770000
      88.7290      208.000     0.770000
      88.8790      207.470     0.760000
      89.0290      206.840     0.760000
      89.1790      206.160     0.760000
      89.3290      205.440     0.760000
      89.4790      204.710     0.760000
      89.6290      203.990     0.750000
      89.7790      203.250     0.750000
      89.9290      202.500     0.750000
      90.0790      201.800     0.750000
      90.2290      201.160     0.750000
      90.3790      200.540     0.750000
      90.5290      199.960     0.750000
      90.6790      199.470     0.750000
      90.8290      199.020     0.750000
      90.9790      198.620     0.760000
      91.1290      198.190     0.760000
      91.2790      197.760     0.770000
      91.4290      197.300     0.770000
      91.5790      196.760     0.780000
      91.7290      196.150     0.780000
      91.8790      195.480     0.790000
      92.0290      194.710     0.790000
      92.1790      193.850     0.800000
      92.3290      192.890     0.800000
      92.4790      191.860     0.800000
      92.6290      190.800     0.810000
      92.7790      189.790     0.810000
      92.9290      188.850     0.820000
      93.0790      187.990     0.820000
      93.2290      187.210     0.830000
      93.3790      186.490     0.830000
      93.5290      185.800     0.840000
      93.6790      185.150     0.840000
      93.8290      184.530     0.850000
      93.9790      183.990     0.860000
      94.1290      183.510     0.870000
      94.2790      183.080     0.880000
      94.4290      182.710     0.890000
      94.5790      182.390     0.900000
      94.7290      182.120     0.910000
      94.8790      181.850     0.930000
      95.0290      181.620     0.940000
      95.1790      181.430     0.960000
      95.3290      181.290     0.980000
      95.4790      181.230      1.01000
      95.6290      181.230      1.03000
      95.7790      181.310      1.06000
      95.9290      181.480      1.10000
      96.0790      181.690      1.13000
      96.2290      181.990      1.17000
      96.3790      182.410      1.21000
      96.5290      182.960      1.26000
      96.6790      183.610      1.31000
      96.8290      184.310      1.36000
      96.9790      184.990      1.42000
      97.1290      185.610      1.48000
      97.2790      186.100      1.54000
      97.4290      186.540      1.60000
      97.5790      186.910      1.67000
      97.7290      187.210      1.73000
      97.8790      187.470      1.81000
      98.0290      187.630      1.88000
      98.1790      187.750      1.97000
      98.3290      187.800      2.05000
      98.4790      187.830      2.15000
      98.6290      187.860      2.26000
      98.7790      188.020      2.38000
      98.9290      188.340      2.51000
      99.0790      188.850      2.67000
      99.2290      189.480      2.84000
      99.3790      190.390      3.04000
      99.5290      191.440      3.26000
      99.6790      192.700      3.51000
      99.8290      194.180      3.81000
      99.9790      195.850      4.13000
      100.129      197.550      4.49000
      100.279      199.580      4.89000
      100.429      201.640      5.32000
      100.579      203.800      5.77000
      100.729      205.630      6.22000
      100.879      207.470      6.68000
      101.029      209.030      7.13000
      101.179      210.270      7.55000
      101.329      210.780      7.93000
      101.479      210.940      8.28000
      101.629      210.610      8.61000
      101.779      209.480      8.88000
      101.929      208.330      9.14000
      102.079      206.810      9.38000
      102.229      205.810      9.64000
      102.379      204.990      9.91000
      102.529      205.150      10.2400
      102.679      206.180      10.6200
      102.829      208.180      11.0600
      102.979      211.290      11.5700
      103.129      215.020      12.1200
      103.279      219.390      12.7600
      103.429      223.580      13.4000
      103.579      227.940      14.0500
      103.729      231.320      14.6000
      103.879      234.120      15.1200
      104.029      235.340      15.4700
      104.179      235.710      15.7500
      104.329      234.080      15.8500
      104.479      230.560      15.7900
      104.629      225.050      15.5300
      104.779      218.530      15.1700
      104.929      211.000      14.8700
      105.079      203.370      14.5600
      105.229      194.950      14.2600
      105.379      186.460      14.1400
      105.529      178.850      14.1600
      105.679      171.630      14.3900
      105.829      165.710      14.7200
      105.979      161.120      15.2700
      106.129      158.360      16.1500
      106.279      158.000      17.0400
      106.429      159.520      18.1100
      106.579      163.050      19.1800
